순번,업체명,분야,지정일자,비고
1,강남,함정,1975-10-01,
2,경주전장,항공,2004-03-01,
3,광림,기동,1988-01-01,
4,극동통신,유도,2002-12-01,
5,금호타이어,항공,1975-10-01,
6,기아 ,기동,1973-04-01,
7,다윈프릭션,항공유도,2003-05-01,
8,다이모스,기동,1997-10-01,
9,단암시스템즈,항공유도,2007-02-01,
10,대동기어,화력,1978-12-01,
11,대명,기타,1988-03-01,
12,대신금속,기타,1991-02-01,
13,대양전기공업,기타,1990-11-01,
14,대우조선해양,함정,1981-07-01,
15,대원강업,기타,1972-05-01,
16,대한항공,항공유도,1975-10-01,
17,도담시스템스,기타,2002-12-01,
18,동성전기,화력,2003-07-01,
19,동양정공,탄약,2001-06-01,
20,동양테크,기타,1994-06-01,
21,동일쉘터시스템,통신전자,2001-03-01,
22,동진전기,기동,1992-02-01,
23,두산모트롤(구.동명모트롤),기동,1978-08-01,"사명변경(모트롤, 엠엔씨솔루션)"
24,두산엔진,함정,2005-05-01,
25,두산중공업,기동,1985-06-01,사명변경(두산에너빌리티)
26,두원중공업,화력,1979-03-01,
27,로우테크놀로지,화력,1974-05-01,
28,메크,유도,2002-06-01,
29,발레오전장,기타,1997-07-01,
30,비엔비쏠루션,통신전자,1993-05-01,
31,비젼이노텍,항공,2007-03-01,
32,비츠로셀,통신전자,1993-10-01,비츠로밀텍
33,삼공물산,화생방,1973-04-01,
34,삼성탈레스,통신전자,2000-02-01,
35,삼성테크윈,화력,1978-04-01,
36,"삼양컴텍(구,오리엔탈코)",기타,1974-05-01,
37,삼양화학공업,탄약,1979-02-01,
38,삼영이엔씨,통신전자,2004-10-01,
39,서울엔지니어링,기타,1973-04-01,
40,성진테크윈,항공유도,2007-03-01,
41,세방하이테크,함정,1997-11-01,
42,수원지관산업,탄약,2007-03-01,
43,스페코,함정,2000-06-01,
44,시공사,기동,2002-12-01,
45,신정개발특장차,기동,2001-02-01,
46,알코아코리아,탄약,1973-04-01,
47,연합정밀,통신전자,1995-05-01,
48,위아,화력,1976-07-01,사명변경(현대위아)
49,유니모테크놀로지,화력,1974-05-01,
50,은성사,기타,1974-05-01,
51,이오시스템,통신전자,1994-05-01,
52,이화전기공업,통신전자,1978-12-01,
53,인소팩,통신전자,2004-01-01,
54,진성테크,화력,1973-04-01,
55,진양공업,기타,1978-07-01,
56,진영정기,화력,1973-04-01,
57,칸워크홀딩스,화력,2007-01-01,
58,케이에스피,기타,1976-10-01,
59,"코리아일렉콤(구,한림에스티)",통신전자,1991-06-01,
60,크로시스,기타,2001-01-06,
61,티에스택,통신전자,2001-07-01,
62,퍼스텍,항공유도,1975-10-01,
63,평화산업,기동,1978-04-01,
64,포스코특수강,화력,1997-05-01,
65,풍산,탄약,1973-04-01,
66,풍산FNS,탄약,1979-07-01,
67,프롬투정보통신,통신전자,2005-07-01,
68,한국로스트왁스공업,항공,2000-01-01,
69,한국통신기산업,화생방,1973-04-01,
70,한국항공우주산업,항공유도,1999-12-01,
71,한국화이바,항공유도,1975-03-01,
72,한벨헬리콥터,항공유도,1990-12-01,사명변경(유아이헬리콥터)
73,한양네비콤,유도,2006-12-01,
74,한일단조공업,탄약,1973-04-01,
75,한진중공업,함정,1974-05-01,사명변경(HJ중공업)
76,한화,탄약,1973-04-01,"한화에어로스페이스, 한화디펜스합병"
77,해안기계산업,함정,2005-12-01,
78,현대두산인프라코어,기동,1973-04-01,
79,현대로템,기동,1978-12-01,
80,현대제이콤,통신전자,2001-07-01,
81,현대중공업,함정,1976-03-01,
82,휴니드테크놀러지스,통신전자,1973-04-01,
83,LIG넥스원,항공유도,1976-06-01,
84,LS전선,기동,1984-05-01,사명변경(LS엠트론)
85,S&T대우,화력,1982-04-01,
86,S&T중공업,화력,1973-04-01,SNT중공업
87,STX엔진,기동,1977-07-01,
88,STX조선,함정,2007-09-01,
